Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2529,1970,Qtr 4,December,7,Rohrbach,BAC One Eleven  424EUYR,Near Constanta Romania,TAROM,0,19,27,Romania,1970-12-07,Monday
2530,1970,Qtr 4,December,28,Boeing,Boeing B 727,St. Thomas Virgin,Airways Caribbean IslandsTrans,0,2,55,USA,1970-12-28,Monday
2531,1970,Qtr 4,December,31,Nord,Nord 262EF BNGB,Off Algiers Algeria,Aviation Rousseau,0,31,31,Algeria,1970-12-31,Thursday
2532,1970,Qtr 4,December,31,Fokker,Fokker F 27 Friendship 200 AP,Near Shemshernagar,Airlines International PakistanPakistan,0,7,35,India,1970-12-31,Thursday
2533,1970,Qtr 4,December,31,Ilyushin,Ilyushin IL 18BCCCP,Leningrad USSRAeroflot,Unknown,0,93,93,Russia,1970-12-31,Thursday
2534,1971,Qtr 1,January,2,De Havilland,de Havilland Comet 4CSU ALC,Ben Gashir Libya,Airlines Arab United,0,16,16,Libya,1971-01-02,Saturday
2535,1971,Qtr 1,January,9,Boeing,Boeing B 707,Edison New,Private / Airlines JerseyAmerican,0,2,21,New Zealand,1971-01-09,Saturday
2536,1971,Qtr 1,January,18,Ilyushin,Ilyushin IL 18LZ,Zurich Switzerland,Airlines Bulgarian Balkan,0,45,47,Switzerland,1971-01-18,Monday
2537,1971,Qtr 1,January,21,Curtiss,Curtiss  Wright C,Near Pacae Peru,Peru del Aérea Fuerza,0,35,35,Peru,1971-01-21,Thursday
2538,1971,Qtr 1,January,21,Nord,Nord 262A 34F,Near Privas France,L'Air de L'Armée,0,21,21,France,1971-01-21,Thursday
2539,1971,Qtr 1,January,22,Antonov,Antonov AN 12BCCCP 11000,Surgut USSRAeroflot,Unknown,0,14,14,Russia,1971-01-22,Friday
2540,1971,Qtr 1,January,23,Fokker,Fokker F 27 Friendship 500HL,Near Sokcho South,Airlines KoreaKorean,0,2,60,South Korea,1971-01-23,Saturday
2541,1971,Qtr 1,January,25,Vickers,Vickers Viscount 749YV C,Merida Venezuela,Venezolana Aeropostal Linea,0,13,47,Venezuela,1971-01-25,Monday
2542,1971,Qtr 1,January,31,Antonov,Antonov AN 10CCCP,Voroshilovgrad Russia,Aeroflot,0,7,7,Russia,1971-01-31,Sunday
2543,1971,Qtr 1,February,17,Curtiss,Curtiss C 46TAM,Mt. Cunatineuta Ecuador,Militares) Aereos (Transportes TAM,0,12,12,Ecuador,1971-02-17,Wednesday
2544,1971,Qtr 1,March,26,McDonnell Douglas,Douglas DC 3VT,Gauhati India,Jamair,0,15,15,India,1971-03-26,Friday
2545,1971,Qtr 1,March,31,Boeing,Boeing B 720,Ontario California,Airlines Western,0,5,5,USA,1971-03-31,Wednesday
2546,1971,Qtr 1,March,31,Antonov,Antonov AN 10CCCP,Vorochilovgrad Ukraine,Aeroflot,0,65,65,Ukraine,1971-03-31,Wednesday
2547,1971,Qtr 2,April,15,McDonnell Douglas,Douglas C 47A293246,Near San Jose Philippines,Force Air Philippine - Military,0,39,40,Philippines,1971-04-15,Thursday
2548,1971,Qtr 2,April,22,Beechcraft,Beechcraft C35N144H,Manchester New,Aviaiton England HampshireNew,0,4,4,New Zealand,1971-04-22,Thursday
2549,1971,Qtr 2,May,11,Curtiss,Curtiss C 46A,Guatemala City Guatemala,Aviateca,0,5,35,Guatemala,1971-05-11,Tuesday
2550,1971,Qtr 2,May,23,Tupolev,Tupolev TU 134AYU,Near Rijeka Yugoslavia,(Yugoslavia) Aviogenex,0,78,83,Yugoslavia,1971-05-23,Sunday
2551,1971,Qtr 2,May,25,Curtiss,Curtiss C 46	CC,Santiago Chile	Aerolineas,ALFA - Austral Flecha,0,4,4,Chile,1971-05-25,Tuesday
